Month,Region,TrafficType
Feb,1,1
Feb,1,2
Feb,9,3
Feb,2,4
Feb,1,4
Feb,1,3
Feb,3,3
Feb,1,5
Feb,2,3
Feb,1,2
Feb,3,3
Feb,4,3
Feb,1,3
Feb,1,3
Feb,3,3
Feb,9,3
Feb,4,3
Feb,1,4
Feb,1,3
Feb,4,4
Feb,5,1
Feb,1,3
Feb,1,5
Feb,1,3
Feb,4,1
Feb,9,3
Feb,1,3
Feb,1,3
Feb,1,3
Feb,1,1
Feb,6,3
Feb,6,6
Feb,1,1
Feb,3,1
Feb,1,1
Feb,7,1
Feb,1,4
Feb,8,4
Feb,1,3
Feb,1,6
Feb,8,4
Feb,3,2
Feb,4,4
Feb,2,3
Feb,1,3
Feb,1,4
Feb,1,2
Feb,1,3
Feb,1,3
Feb,3,2
Feb,3,4
Feb,1,3
Feb,4,2
Feb,2,3
Feb,1,4
Feb,1,3
Feb,3,3
Feb,4,1
Feb,6,3
Feb,2,1
Feb,3,3
Feb,1,3
Feb,3,2
Feb,5,4
Feb,4,3
Feb,3,1
Feb,1,3
Feb,5,1
Feb,2,4
Feb,3,3
Feb,1,2
Feb,6,1
Feb,3,3
Feb,3,2
Feb,3,3
Feb,1,1
Feb,1,2
Feb,3,3
Feb,1,3
Feb,1,3
Feb,1,5
Feb,1,3
Feb,1,3
Feb,4,1
Feb,2,1
Feb,1,3
Feb,2,1
Feb,1,3
Feb,3,3
Feb,4,2
Feb,1,3
Feb,1,2
Feb,1,3
Feb,1,5
Feb,3,3
Feb,1,3
Feb,1,3
Feb,1,4
Feb,1,7
Feb,3,4
Feb,1,2
Feb,7,4
Feb,3,2
Feb,4,3
Feb,3,4
Feb,7,2
Feb,1,3
Feb,1,3
Feb,1,3
Feb,1,3
Feb,3,3
Feb,1,3
Feb,2,3
Feb,1,1
Feb,1,3
Feb,1,4
Feb,1,3
Feb,3,1
Feb,3,3
Feb,9,3
Feb,4,1
Feb,1,2
Feb,3,3
Feb,3,3
Feb,3,1
Feb,3,3
Feb,1,3
Feb,8,3
Feb,9,3
Feb,1,1
Feb,1,2
Feb,1,6
Feb,3,3
Feb,4,3
Feb,3,3
Feb,4,2
Feb,5,2
Feb,1,5
Feb,1,4
Feb,3,3
Feb,7,3
Feb,6,3
Feb,2,3
Feb,2,3
Feb,3,6
Feb,1,3
Feb,1,1
Feb,3,3
Feb,4,3
Feb,2,1
Feb,1,1
Feb,3,4
Feb,5,1
Feb,3,3
Feb,1,1
Feb,2,1
Feb,3,2
Feb,1,3
Feb,1,3
Feb,3,3
Feb,4,2
Feb,1,1
Feb,1,2
Feb,3,3
Feb,1,3
Feb,3,2
Feb,1,3
Feb,1,3
Feb,6,1
Feb,7,4
Feb,2,4
Feb,1,3
Feb,1,3
Feb,1,2
Feb,8,1
Feb,2,3
Feb,6,2
Feb,1,4
Feb,3,3
Feb,6,2
Feb,6,2
Feb,1,3
Feb,1,1
Feb,1,3
Mar,1,8
Mar,3,1
Mar,3,2
Mar,6,2
Mar,7,2
Mar,1,1
Mar,1,3
Mar,1,2
Mar,1,1
Mar,3,1
Mar,7,2
Mar,1,3
Mar,4,2
Mar,1,2
Mar,9,2
Mar,1,2
Mar,7,8
Mar,1,9
Mar,1,2
Mar,1,8
Mar,1,10
Mar,5,2
Mar,2,3
Mar,7,2
Mar,7,1
Mar,1,3
Mar,3,2
Mar,3,1
Mar,8,11
Mar,6,6
Mar,1,2
Mar,4,1
Mar,7,3
Mar,2,2
Mar,3,2
Mar,3,12
Mar,5,1
Mar,1,1
Mar,1,1
Mar,1,8
Mar,4,2
Mar,3,11
Mar,4,1
Mar,1,3
Mar,1,1
Mar,1,3
Mar,7,9
Mar,3,2
Mar,1,3
Mar,3,2
Mar,2,1
Mar,2,2
Mar,1,8
Mar,1,1
Mar,2,3
Mar,4,3
Mar,2,2
Mar,1,3
Mar,8,1
Mar,1,3
Mar,1,2
Mar,1,3
Mar,8,1
Mar,1,1
Mar,3,2
Mar,2,1
Mar,9,3
Mar,1,1
Mar,1,1
Mar,2,1
Mar,5,1
Mar,1,1
Mar,3,2
Mar,7,8
Mar,3,1
Mar,1,8
Mar,6,1
Mar,5,2
Mar,3,2
Mar,1,1
Mar,7,2
Mar,3,1
Mar,7,2
Mar,1,10
Mar,1,1
Mar,1,3
Mar,1,1
Mar,1,1
Mar,1,8
Mar,3,3
Mar,2,9
Mar,6,1
Mar,1,3
Mar,9,1
Mar,2,2
Mar,3,1
Mar,1,3
Mar,1,11
Mar,2,3
Mar,4,3
Mar,9,2
Mar,2,1
Mar,1,1
Mar,1,1
Mar,5,1
Mar,1,10
Mar,6,3
Mar,3,6
Mar,2,1
Mar,1,1
Mar,1,7
Mar,1,3
Mar,1,1
Mar,1,1
Mar,8,1
Mar,1,3
Mar,1,9
Mar,2,3
Mar,3,1
Mar,6,1
Mar,1,3
Mar,3,1
Mar,1,3
Mar,1,1
Mar,4,11
Mar,4,9
Mar,1,13
Mar,1,3
Mar,1,1
Mar,1,1
Mar,6,2
Mar,1,2
Mar,1,1
Mar,1,8
Mar,1,1
Mar,1,1
Mar,6,1
Mar,4,1
Mar,9,2
Mar,1,2
Mar,6,1
Mar,1,1
Mar,1,2
Mar,1,1
Mar,1,9
Mar,8,2
Mar,3,1
Mar,1,2
Mar,1,1
Mar,1,1
Mar,3,1
Mar,3,1
Mar,1,3
Mar,1,2
Mar,1,2
Mar,1,2
Mar,1,3
Mar,4,1
Mar,1,3
Mar,8,1
Mar,8,1
Mar,3,8
Mar,4,3
Mar,1,3
Mar,1,3
Mar,2,1
Mar,1,1
Mar,7,1
Mar,3,1
Mar,6,2
Mar,2,1
Mar,1,3
Mar,4,1
Mar,2,2
Mar,1,2
Mar,1,1
Mar,1,1
Mar,1,1
Mar,3,1
Mar,3,3
Mar,1,2
Mar,9,3
Mar,4,3
Mar,5,2
Mar,2,1
Mar,4,3
Mar,4,1
Mar,9,1
Mar,1,8
Mar,3,2
Mar,3,1
Mar,4,1
Mar,5,2
Mar,1,1
Mar,8,10
Mar,4,2
Mar,5,3
Mar,1,3
Mar,7,1
Mar,2,3
Mar,4,2
Mar,4,1
Mar,1,2
Mar,6,2
Mar,1,6
Mar,2,3
Mar,1,1
Mar,8,1
Mar,3,1
Mar,2,1
Mar,1,3
Mar,4,2
Mar,2,10
Mar,1,2
Mar,1,1
Mar,7,2
Mar,2,1
Mar,1,1
Mar,3,2
Mar,6,1
Mar,1,2
Mar,9,1
Mar,1,7
Mar,1,2
Mar,1,9
Mar,6,6
Mar,7,1
Mar,6,1
Mar,3,8
Mar,1,10
Mar,8,2
Mar,3,10
Mar,1,3
Mar,2,1
Mar,1,1
Mar,9,2
Mar,1,1
Mar,2,1
Mar,1,2
Mar,6,2
Mar,1,2
Mar,1,2
Mar,1,3
Mar,4,3
Mar,1,2
Mar,4,11
Mar,3,6
Mar,1,1
Mar,3,1
Mar,3,2
Mar,1,13
Mar,3,2
Mar,2,1
Mar,2,1
Mar,2,3
Mar,5,2
Mar,4,2
Mar,4,6
Mar,4,2
Mar,4,11
Mar,3,10
Mar,1,10
Mar,3,2
Mar,8,2
Mar,4,3
Mar,3,1
Mar,1,2
Mar,1,2
Mar,6,1
Mar,1,2
Mar,3,3
Mar,3,9
Mar,4,1
Mar,1,2
Mar,5,1
Mar,1,3
Mar,1,9
Mar,1,1
Mar,4,14
Mar,3,2
Mar,1,1
Mar,2,1
Mar,4,2
Mar,6,1
Mar,1,1
Mar,2,1
Mar,5,2
Mar,3,1
Mar,8,3
Mar,1,3
Mar,1,1
Mar,3,3
Mar,1,2
Mar,3,1
Mar,3,2
Mar,3,3
Mar,1,3
Mar,3,1
Mar,6,1
Mar,3,1
Mar,8,2
Mar,4,1
Mar,3,3
Mar,7,7
Mar,9,1
Mar,1,10
Mar,1,1
Mar,3,9
Mar,1,3
Mar,6,1
Mar,1,2
Mar,1,1
Mar,7,9
Mar,1,3
Mar,6,2
Mar,1,2
Mar,4,1
Mar,2,3
Mar,2,2
Mar,1,1
Mar,3,13
Mar,6,2
Mar,3,13
Mar,1,1
Mar,1,3
Mar,3,1
Mar,9,2
Mar,3,2
Mar,1,1
Mar,1,1
Mar,7,2
Mar,4,3
Mar,2,3
Mar,1,3
Mar,3,14
Mar,1,3
Mar,1,10
Mar,1,3
Mar,2,3
Mar,1,3
Mar,3,1
Mar,8,10
Mar,5,1
Mar,6,1
Mar,4,2
Mar,3,1
Mar,1,2
Mar,3,3
Mar,7,1
Mar,2,3
Mar,7,3
Mar,3,1
Mar,1,2
Mar,2,10
Mar,1,10
Mar,3,1
Mar,3,1
Mar,7,1
Mar,7,2
Mar,1,3
Mar,1,2
Mar,7,2
