Qtr 1,Qtr 2,Qtr 3
9,21,30
3,19,22
5,15,20
6,19,25
6,15,21
4,34,38
6,15,21
7,25,32
4,8,12
3,20,23
5,22,27
6,10,16
5,14,19
5,14,19
5,23,28
5,11,16
11,22,33
13,10,23
5,17,22
12,7,19
11,7,18
5,28,33
8,11,19
5,13,18
2,19,21
6,22,28
5,18,23
4,11,15
14,10,24
7,24,31
5,13,18
7,10,17
4,37,41
3,12,15
3,8,11
13,18,31
5,29,34
5,23,28
4,14,18
14,13,27
6,14,20
13,15,28
5,12,17
6,24,30
4,11,15
7,19,26
11,12,23
5,15,20
6,16,22
4,15,19
5,20,25
5,11,16
10,20,30
4,12,16
7,12,19
6,20,26
5,12,17
4,16,20
4,19,23
4,32,36
5,11,16
6,19,25
3,31,34
5,9,14
5,19,24
2,10,12
6,9,15
2,13,15
5,6,11
4,9,13
3,19,22
2,10,12
5,30,35
10,12,22
4,29,33
9,8,17
3,22,25
5,11,16
5,10,15
4,22,26
7,19,26
4,9,13
5,12,17
11,12,23
2,7,9
6,10,16
2,30,32
4,15,19
11,12,23
5,17,22
12,11,23
3,8,11
6,21,27
6,18,24
5,8,13
4,25,29
6,7,13
15,12,27
10,22,32
7,19,26
4,10,14
5,19,24
3,9,12
4,10,14
5,14,19
12,12,24
6,7,13
9,11,20
4,21,25
4,34,38
10,23,33
6,19,25
4,11,15
2,20,22
4,10,14
7,8,15
12,9,21
4,13,17
4,12,16
4,14,18
4,29,33
3,26,29
6,11,17
4,8,12
12,11,23
12,24,36
16,21,37
6,21,27
4,30,34
2,7,9
4,26,30
8,23,31
4,21,25
11,17,28
4,29,33
3,11,14
3,10,13
6,25,31
6,19,25
5,20,25
4,16,20
4,7,11
5,23,28
4,10,14
15,11,26
5,11,16
2,18,20
5,41,46
4,11,15
2,26,28
2,22,24
5,22,27
4,13,17
5,20,25
3,9,12
3,8,11
5,12,17
4,10,14
6,23,29
4,21,25
3,23,26
9,6,15
5,18,23
6,13,19
6,15,21
3,12,15
4,11,15
4,12,16
2,26,28
6,11,17
5,23,28
6,19,25
4,9,13
4,14,18
3,10,13
4,22,26
3,16,19
5,18,23
4,9,13
5,8,13
4,22,26
6,8,14
4,9,13
5,9,14
2,8,10
6,21,27
2,12,14
2,12,14
16,11,27
4,19,23
2,10,12
2,14,16
4,19,23
2,20,22
20,23,43
4,13,17
