Feb,Mar,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,8,4,1,13,3,3,5,2,1
2,1,2,11,1,5,1,3,4,6
3,2,6,1,4,4,2,2,1,2
4,2,13,4,1,1,4,1,2,10
4,2,6,4,1,4,1,2,2,2
3,1,13,3,5,13,2,5,2,20
3,3,3,2,4,6,1,1,3,2
5,2,2,1,20,2,4,2,13,1
3,1,4,1,1,2,1,2,2,13
2,1,2,13,4,1,1,4,4,20
3,2,13,4,1,4,6,2,2,1
3,3,3,1,4,2,3,3,5,20
3,2,2,7,1,4,2,2,2,1
3,2,3,3,4,4,3,2,20,1
3,2,3,4,13,3,3,3,20,2
3,2,6,3,1,1,3,2,2,8
3,8,15,4,1,2,1,1,3,1
4,9,5,3,1,1,1,2,5,3
3,2,13,2,1,1,1,5,4,1
4,8,4,1,1,1,2,3,13,13
1,10,2,2,1,2,5,3,2,2
3,2,6,13,4,5,3,2,20,2
5,3,3,5,2,1,13,2,2,2
3,2,3,4,3,3,1,4,2,1
1,1,2,2,13,2,11,2,5,6
3,3,13,3,2,4,13,2,3,2
3,2,3,13,1,1,1,2,1,8
3,1,4,1,4,2,5,1,2,2
3,11,3,2,4,1,1,1,2,10
1,6,4,13,2,5,4,2,4,20
3,2,3,2,4,4,1,1,2,10
6,1,3,3,1,3,3,3,3,2
1,3,18,13,3,3,3,20,2,10
1,2,3,5,2,2,4,3,2,2
1,2,2,2,2,2,4,4,1,13
1,12,3,13,1,1,2,20,4,2
4,1,2,13,13,1,1,13,20,2
4,1,13,3,3,4,2,2,3,2
3,1,1,4,6,3,2,1,2,2
6,8,3,4,1,5,3,2,1,1
4,2,4,1,4,5,2,1,20,2
2,11,4,4,1,6,13,2,2,1
4,1,4,2,4,2,2,4,3,1
3,3,6,13,4,1,1,3,2,1
3,1,2,4,1,4,6,4,6,10
4,3,2,2,13,2,4,1,2,2
2,9,4,3,4,1,2,2,1,1
3,2,4,3,4,4,2,4,20,2
3,3,3,6,4,3,2,5,4,2
2,2,4,3,3,5,3,6,13,13
4,1,13,2,4,1,1,2,2,2
3,2,3,4,3,1,1,2,2,2
2,8,2,1,13,4,2,1,1,8
3,1,3,4,1,4,3,13,1,2
4,3,6,1,3,2,2,5,4,8
3,3,2,1,4,13,1,5,3,2
3,2,2,4,3,3,5,20,1,20
1,3,6,2,3,5,2,1,2,2
3,1,1,13,1,4,5,5,13,2
1,3,4,2,13,13,4,1,3,2
3,2,3,4,2,2,5,3,4,2
3,3,2,1,13,3,2,1,2,10
2,1,1,13,13,4,13,6,13,2
4,1,2,3,1,3,2,2,13,3
3,2,3,1,13,2,2,2,1,10
1,1,3,2,3,2,5,1,3,1
3,3,1,4,1,3,2,2,3,6
1,1,3,1,4,5,5,2,2,10
4,1,3,1,1,1,2,1,2,2
3,1,1,3,2,3,4,4,4,10
2,1,11,3,1,4,5,2,4,2
1,1,2,1,2,5,4,4,2,8
3,2,6,3,1,20,1,2,4,2
2,8,4,1,5,2,4,2,20,3
3,1,4,20,3,2,4,2,13,1
